TOX ,freq
4.16E-09,1.56E+09
4.17E-09,1.56E+09
4.17E-09,1.56E+09
4.17E-09,1.56E+09
4.18E-09,1.56E+09
4.18E-09,1.56E+09
4.18E-09,1.56E+09
4.18E-09,1.56E+09
4.18E-09,1.56E+09
4.20E-09,1.56E+09
4.20E-09,1.56E+09
4.22E-09,1.57E+09
4.22E-09,1.56E+09
4.23E-09,1.56E+09
4.23E-09,1.56E+09
4.23E-09,1.56E+09
4.24E-09,1.55E+09
4.25E-09,1.55E+09
4.25E-09,1.55E+09
4.26E-09,1.55E+09
4.27E-09,1.56E+09
4.30E-09,1.56E+09
4.31E-09,1.56E+09
4.31E-09,1.55E+09
4.32E-09,1.55E+09
4.32E-09,1.56E+09
4.32E-09,1.54E+09
4.34E-09,1.54E+09
4.36E-09,1.54E+09
4.49E-09,1.52E+09
4.51E-09,1.52E+09
4.52E-09,1.52E+09
